alamat,luas_tanah,kecamatan,NJOP_Rp_per_m2,Sertifikat,Sewa_per_Bulan,Aksesbilitas,luas_tanah_m2,Jenis_zona,Aksesibilitas,Tingkat_Keamanan,Kepadatan_Penduduk
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1250 m²,Lakarsantri,1032000,SHM,6450000,Baik,1250.0,Industri,Buruk,rendah,59256
"Jl. Sukolilo No. 13, Surabaya",,Sukolilo,4000000,HGB,193500000,Buruk,9675.0,Perumahan,Buruk,rendah,110557
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 180 m²,Wiyung,1416000,Lainnya,1274400,Baik,180.0,Komersial,Baik,rendah,71605
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 390 m²,Lakarsantri,1032000,HGB,2012400,Buruk,390.0,Perumahan,Buruk,tinggi,59256
"Jl. Karang Pilang No. 7, Surabaya",,Karang Pilang,1800000,SHM,49221000,Buruk,5469.0,Industri,Baik,tinggi,75315
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 110 m²,Sawahan,1416000,Lainnya,778800,Baik,110.0,Perumahan,Baik,rendah,188693
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 7950 m²,Lakarsantri,1032000,SHM,41022000,Buruk,7950.0,Perumahan,Baik,rendah,59256
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 544 m²,Sukomanunggal,5625000,SHM,15300000,Baik,544.0,Industri,Buruk,rendah,101259
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 1170 m²,Sambikerep,1032000,Lainnya,6037200,Buruk,1170.0,Perumahan,Baik,tinggi,63778
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1125 m²,Lakarsantri,1032000,Lainnya,5805000,Baik,1125.0,Industri,Baik,tinggi,59256
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT 150.5 m²,Kenjeran,1862000,HGB,1396500,Buruk,150.0,Perumahan,Baik,rendah,181325
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 540 m²,Lakarsantri,1032000,SHM,2786400,Buruk,540.0,Komersial,Buruk,tinggi,59256
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 40000 m²,Benowo,1032000,SHM,206400000,Baik,40000.0,Industri,Baik,tinggi,69938
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 1125 m²,Genteng,6195000,SHM,34846875,Baik,1125.0,Komersial,Buruk,tinggi,52924
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 3806 m²,Tambaksari,2352000,Lainnya,44758560,Buruk,3806.0,Perumahan,Baik,tinggi,214966
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 22148 m²,Lakarsantri,1032000,Lainnya,114283680,Buruk,22148.0,Industri,Baik,rendah,59256
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 1430 m²,Genteng,6195000,SHM,44294250,Buruk,1430.0,Komersial,Baik,tinggi,52924
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 1.429 m²,Rungkut,2352000,SHM,11760,Buruk,1.0,Perumahan,Buruk,tinggi,123757
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",,Rungkut,2352000,SHM,50662080,Baik,4308.0,Perumahan,Baik,tinggi,123757
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 260 m²,Sawahan,1416000,SHM,1840800,Baik,260.0,Perumahan,Baik,rendah,188693
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 820 m²,Sambikerep,1032000,SHM,4231200,Buruk,820.0,Komersial,Buruk,rendah,63778
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",,Wiyung,1416000,HGB,57171000,Buruk,8075.0,Perumahan,Baik,tinggi,71605
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 375 m²,Lakarsantri,1032000,HGB,1935000,Buruk,375.0,Komersial,Baik,tinggi,59256
"Jl. Pabean Cantikan No. 9, Surabaya",,Pabean Cantikan,3000000,SHM,11355000,Buruk,757.0,Industri,Buruk,rendah,75315
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 525 m²,Sukomanunggal,5625000,HGB,14765625,Buruk,525.0,Industri,Baik,rendah,101259
"Jl. Kedungdoro No. 1, Surabaya",LT : 40000 m²,Tegalsari,6805000,SHM,1361000000,Buruk,40000.0,Komersial,Baik,tinggi,92014
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 375 m²,Lakarsantri,1032000,HGB,1935000,Buruk,375.0,Perumahan,Buruk,rendah,59256
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,SHM,16060000,Buruk,803.0,Komersial,Buruk,tinggi,90646
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 813 m²,Sukomanunggal,5625000,SHM,22865625,Buruk,813.0,Industri,Baik,tinggi,101259
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 455 m²,Rungkut,2352000,HGB,5350800,Baik,455.0,Perumahan,Baik,tinggi,123757
"Jl. Wonocolo No. 16, Surabaya",,Wonocolo,2800000,SHM,91182000,Buruk,6513.0,Industri,Baik,rendah,75315
"Jl. Raya Gubeng No. 60, Surabaya",,Gubeng,5625000,Lainnya,277340625,Baik,9861.0,Komersial,Buruk,rendah,123961
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 600 m²,Wiyung,1416000,Lainnya,4248000,Buruk,600.0,Perumahan,Buruk,rendah,71605
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 240 m²,Sawahan,1416000,HGB,1699200,Buruk,240.0,Perumahan,Baik,tinggi,188693
"Jl. Raya Lakarsantri No. 10, Surabaya",,Lakarsantri,1032000,SHM,48447240,Baik,9389.0,Industri,Baik,rendah,59256
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 2002 m²,Gunung Anyar,1862000,Lainnya,18638620,Baik,2002.0,Perumahan,Baik,tinggi,62482
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 834 m²,Benowo,1032000,HGB,4303440,Buruk,834.0,Industri,Buruk,rendah,69938
"Jl. Semampir No. 11, Surabaya",,Semampir,1800000,SHM,58698000,Buruk,6522.0,Industri,Buruk,tinggi,172669
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 375m²,Lakarsantri,1032000,Lainnya,1935000,Buruk,375.0,Perumahan,Buruk,tinggi,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1702 m²,Lakarsantri,1032000,SHM,8782320,Baik,1702.0,Perumahan,Baik,tinggi,59256
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,HGB,38055360,Baik,3236.0,Perumahan,Buruk,tinggi,214966
"Jl. Tenggilis Mejoyo No. 15, Surabaya",,Tenggilis Mejoyo,3200000,HGB,132832000,Baik,8302.0,Perumahan,Buruk,rendah,61187
"Jl. Kedungdoro No. 1, Surabaya",LT : 5252 m²,Tegalsari,6805000,Lainnya,178699300,Baik,5252.0,Komersial,Baik,rendah,92014
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 525 m²,Benowo,1032000,HGB,2709000,Baik,525.0,Industri,Buruk,tinggi,69938
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",,Kenjeran,1862000,Lainnya,8313830,Baik,893.0,Perumahan,Buruk,rendah,181325
"Jl. Raya Gubeng No. 60, Surabaya",LT : 325 m²,Gubeng,5625000,Lainnya,9140625,Baik,325.0,Komersial,Buruk,rendah,123961
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 1215 m²,Kenjeran,1862000,SHM,11311650,Baik,1215.0,Perumahan,Buruk,tinggi,181325
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 11267 m²,Wiyung,1416000,HGB,79770360,Baik,11267.0,Industri,Buruk,tinggi,71605
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 5000 m²,Benowo,1032000,Lainnya,25800000,Baik,5000.0,Industri,Baik,tinggi,69938
"Jl. Kedungdoro No. 1, Surabaya",LT : 740 m²,Tegalsari,6805000,SHM,25178500,Baik,740.0,Komersial,Baik,rendah,92014
"Jl. Jambangan No. 6, Surabaya",,Jambangan,2500000,SHM,90662500,Baik,7253.0,Perumahan,Buruk,rendah,50470
"Jl. Tunjungan No. 1, Genteng, Surabaya",,Genteng,6195000,SHM,219674700,Baik,7092.0,Komersial,Buruk,rendah,52924
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 1850 m²,Tambaksari,2352000,SHM,21756000,Baik,1850.0,Perumahan,Buruk,tinggi,214966
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 800 m²,Lakarsantri,1032000,HGB,4128000,Baik,800.0,Komersial,Buruk,rendah,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 504 m²,Lakarsantri,1032000,HGB,2600640,Buruk,504.0,Perumahan,Baik,rendah,59256
"Jl. Kedungdoro No. 1, Surabaya",LT : 360 m²,Tegalsari,6805000,Lainnya,12249000,Baik,360.0,Komersial,Buruk,rendah,92014
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 630 m²,Lakarsantri,1032000,Lainnya,3250800,Baik,630.0,Komersial,Buruk,rendah,59256
"Jl. Jambangan No. 6, Surabaya",,Jambangan,2500000,HGB,18325000,Buruk,1466.0,Industri,Baik,rendah,50470
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",,Wiyung,1416000,Lainnya,70304400,Baik,9930.0,Komersial,Baik,rendah,71605
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT 360 m²,Genteng,6195000,HGB,11151000,Baik,360.0,Komersial,Baik,tinggi,52924
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 840 m²,Genteng,6195000,Lainnya,26019000,Buruk,840.0,Komersial,Baik,rendah,52924
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 544 m²,Kenjeran,1862000,SHM,5064640,Buruk,544.0,Perumahan,Buruk,tinggi,181325
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 623 m²,Wonokromo,5625000,SHM,17521875,Buruk,623.0,Komersial,Buruk,rendah,144650
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,SHM,87341520,Buruk,7427.0,Perumahan,Buruk,rendah,214966
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",,Mulyorejo,1416000,HGB,6917160,Baik,977.0,Komersial,Buruk,rendah,86545
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 44000 m²,Wonokromo,5625000,SHM,1237500000,Baik,44000.0,Komersial,Baik,rendah,144650
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,SHM,87220000,Baik,4361.0,Industri,Buruk,rendah,90646
"Jl. Tunjungan No. 1, Genteng, Surabaya",,Genteng,6195000,HGB,277814775,Baik,8969.0,Komersial,Buruk,rendah,52924
"Jl. Bulak No. 3, Surabaya",,Bulak,1500000,SHM,26962500,Baik,3595.0,Perumahan,Buruk,rendah,43764
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",,Wonokromo,5625000,SHM,8381250,Buruk,298.0,Komersial,Buruk,rendah,144650
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 3290 m²,Wiyung,1416000,Lainnya,23293200,Baik,3290.0,Industri,Baik,rendah,71605
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 600 m²,Rungkut,2352000,Lainnya,7056000,Buruk,600.0,Perumahan,Baik,rendah,123757
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 544 m²,Kenjeran,1862000,HGB,5064640,Baik,544.0,Perumahan,Buruk,rendah,181325
"Jl. Wonocolo No. 16, Surabaya",,Wonocolo,2800000,Lainnya,117642000,Baik,8403.0,Perumahan,Baik,tinggi,75315
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 300 m²,Kenjeran,1862000,HGB,2793000,Baik,300.0,Perumahan,Baik,tinggi,181325
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 3363 m²,Sukomanunggal,5625000,Lainnya,94584375,Buruk,3363.0,Industri,Buruk,tinggi,101259
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 810 m²,Tambaksari,2352000,Lainnya,9525600,Baik,810.0,Perumahan,Baik,tinggi,214966
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 2108 m²,Sukomanunggal,5625000,HGB,59287500,Buruk,2108.0,Industri,Baik,rendah,101259
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 114 m²,Lakarsantri,1032000,SHM,588240,Baik,114.0,Komersial,Buruk,rendah,59256
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 3150 m²,Sawahan,1416000,SHM,22302000,Buruk,3150.0,Perumahan,Baik,tinggi,188693
"Jl. Tunjungan No. 1, Genteng, Surabaya",,Genteng,6195000,HGB,221192475,Buruk,7141.0,Komersial,Buruk,rendah,52924
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 240 m²,Genteng,6195000,SHM,7434000,Buruk,240.0,Komersial,Buruk,tinggi,52924
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 25544 m²,Sawahan,1416000,Lainnya,180851520,Baik,25544.0,Perumahan,Buruk,rendah,188693
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Lt 420 meter,Benowo,1032000,SHM,2167200,Buruk,420.0,Industri,Baik,rendah,69938
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 114 m²,Lakarsantri,1032000,HGB,588240,Baik,114.0,Komersial,Baik,tinggi,59256
"Jl. Kedungdoro No. 1, Surabaya",LT : 1950 m²,Tegalsari,6805000,HGB,66348750,Baik,1950.0,Komersial,Buruk,tinggi,92014
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1011 m²,Benowo,1032000,SHM,5216760,Buruk,1011.0,Industri,Baik,tinggi,69938
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT 810m²,Mulyorejo,1416000,SHM,5734800,Buruk,810.0,Industri,Buruk,rendah,86545
"Jl. Tunjungan No. 1, Genteng, Surabaya",Lt 6000 M2,Genteng,6195000,SHM,185850000,Buruk,6000.0,Komersial,Buruk,rendah,52924
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 403 m²,Wonokromo,5625000,HGB,11334375,Buruk,403.0,Komersial,Buruk,rendah,144650
"Jl. Wonocolo No. 16, Surabaya",,Wonocolo,2800000,HGB,117474000,Buruk,8391.0,Perumahan,Baik,tinggi,75315
"Jl. Raya Gubeng No. 60, Surabaya",LT : 3700 m²,Gubeng,5625000,HGB,104062500,Baik,3700.0,Komersial,Baik,rendah,123961
"Jl. Kedungdoro No. 1, Surabaya",LT 790 m2,Tegalsari,6805000,Lainnya,26879750,Buruk,790.0,Komersial,Baik,rendah,92014
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 1700 m²,Wonokromo,5625000,SHM,47812500,Buruk,1700.0,Komersial,Baik,tinggi,144650
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",,Wiyung,1416000,SHM,40830360,Baik,5767.0,Perumahan,Baik,rendah,71605
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",,Kenjeran,1862000,SHM,5762890,Baik,619.0,Perumahan,Buruk,rendah,181325
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 800 m²,Lakarsantri,1032000,SHM,4128000,Baik,800.0,Industri,Buruk,rendah,59256
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 553 m²,Sambikerep,1032000,HGB,2853480,Baik,553.0,Perumahan,Baik,rendah,63778
"Jl. Raya Lakarsantri No. 10, Surabaya",,Lakarsantri,1032000,Lainnya,33194280,Buruk,6433.0,Industri,Baik,tinggi,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 575 m²,Lakarsantri,1032000,SHM,2967000,Buruk,575.0,Industri,Baik,rendah,59256
"Jl. Tandes No. 14, Surabaya",,Tandes,2000000,HGB,46140000,Baik,4614.0,Industri,Baik,rendah,87511
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,Lainnya,19800000,Baik,990.0,Perumahan,Baik,tinggi,90646
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Lt 11.250 m2,Sukomanunggal,5625000,SHM,309375,Baik,11.0,Industri,Buruk,tinggi,101259
"Jl. Karang Pilang No. 7, Surabaya",,Karang Pilang,1800000,HGB,12429000,Baik,1381.0,Industri,Baik,rendah,75315
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 623 m²,Genteng,6195000,Lainnya,19297425,Baik,623.0,Komersial,Baik,tinggi,52924
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 980 m²,Tambaksari,2352000,HGB,11524800,Buruk,980.0,Perumahan,Buruk,tinggi,214966
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 834 m²,Wonokromo,5625000,Lainnya,23456250,Baik,834.0,Komersial,Baik,rendah,144650
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,Lainnya,36444240,Baik,3099.0,Perumahan,Buruk,rendah,214966
"Jl. Kedungdoro No. 1, Surabaya",,Tegalsari,6805000,Lainnya,248144325,Buruk,7293.0,Komersial,Baik,tinggi,92014
"Jl. Jambangan No. 6, Surabaya",,Jambangan,2500000,HGB,57750000,Baik,4620.0,Komersial,Buruk,rendah,50470
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 1482 m²,Gunung Anyar,1862000,Lainnya,13797420,Buruk,1482.0,Komersial,Buruk,tinggi,62482
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 630 m²,Lakarsantri,1032000,HGB,3250800,Baik,630.0,Industri,Baik,rendah,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 417 m²,Lakarsantri,1032000,HGB,2151720,Buruk,417.0,Komersial,Buruk,tinggi,59256
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 13000 m²,Mulyorejo,1416000,SHM,92040000,Baik,13000.0,Industri,Buruk,rendah,86545
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 437 m²,Rungkut,2352000,SHM,5139120,Baik,437.0,Perumahan,Buruk,rendah,123757
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,SHM,104260000,Buruk,5213.0,Komersial,Buruk,rendah,90646
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 360 m²,Sambikerep,1032000,Lainnya,1857600,Baik,360.0,Perumahan,Buruk,rendah,63778
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 1125 m²,Wonokromo,5625000,Lainnya,31640625,Baik,1125.0,Komersial,Buruk,rendah,144650
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 500 m²,Sambikerep,1032000,SHM,2580000,Baik,500.0,Perumahan,Baik,rendah,63778
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 1000 m²,Sawahan,1416000,HGB,7080000,Baik,1000.0,Perumahan,Baik,rendah,188693
"Jl. Kedungdoro No. 1, Surabaya",LT : 4000 m²,Tegalsari,6805000,Lainnya,136100000,Baik,4000.0,Komersial,Baik,tinggi,92014
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 147 m²,Sambikerep,1032000,Lainnya,758520,Buruk,147.0,Komersial,Baik,tinggi,63778
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 5617 m²,Mulyorejo,1416000,HGB,39768360,Buruk,5617.0,Perumahan,Baik,rendah,86545
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 789 m²,Wonokromo,5625000,HGB,22190625,Baik,789.0,Komersial,Buruk,rendah,144650
"Jl. Semampir No. 11, Surabaya",,Semampir,1800000,SHM,34389000,Baik,3821.0,Perumahan,Baik,rendah,172669
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 450 m²,Sambikerep,1032000,HGB,2322000,Baik,450.0,Industri,Buruk,rendah,63778
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 630 m²,Lakarsantri,1032000,HGB,3250800,Buruk,630.0,Perumahan,Baik,tinggi,59256
"Jl. Tenggilis Mejoyo No. 15, Surabaya",,Tenggilis Mejoyo,3200000,HGB,138848000,Buruk,8678.0,Industri,Buruk,tinggi,61187
"Jl. Semampir No. 11, Surabaya",,Semampir,1800000,Lainnya,79542000,Baik,8838.0,Perumahan,Buruk,tinggi,172669
"Jl. Raya Lakarsantri No. 10, Surabaya",,Lakarsantri,1032000,SHM,21537840,Buruk,4174.0,Komersial,Baik,rendah,59256
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 1500 m²,Kenjeran,1862000,Lainnya,13965000,Buruk,1500.0,Perumahan,Buruk,tinggi,181325
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 630 m²,Lakarsantri,1032000,Lainnya,3250800,Baik,630.0,Komersial,Buruk,rendah,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 450m2,Lakarsantri,1032000,HGB,2322000,Buruk,450.0,Industri,Baik,rendah,59256
"Jl. Kedungdoro No. 1, Surabaya",LT : 3720 m²,Tegalsari,6805000,SHM,126573000,Baik,3720.0,Komersial,Buruk,rendah,92014
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 60000 m²,Benowo,1032000,Lainnya,309600000,Baik,60000.0,Industri,Baik,rendah,69938
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 4000 m²,Benowo,1032000,SHM,20640000,Buruk,4000.0,Industri,Baik,rendah,69938
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT 450m²,Benowo,1032000,SHM,2322000,Baik,450.0,Industri,Buruk,rendah,69938
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 1840 m²,Wiyung,1416000,HGB,13027200,Buruk,1840.0,Perumahan,Baik,rendah,71605
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 1970 m²,Rungkut,2352000,SHM,23167200,Buruk,1970.0,Perumahan,Baik,tinggi,123757
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 219 m²,Lakarsantri,1032000,Lainnya,1130040,Buruk,219.0,Komersial,Buruk,rendah,59256
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1860 m²,Benowo,1032000,SHM,9597600,Baik,1860.0,Industri,Buruk,rendah,69938
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 2000 m²,Wiyung,1416000,HGB,14160000,Buruk,2000.0,Perumahan,Buruk,rendah,71605
"Jl. Dukuh Pakis No. 4, Surabaya",,Dukuh Pakis,5000000,SHM,15900000,Buruk,636.0,Perumahan,Baik,rendah,56707
"Jl. Kedungdoro No. 1, Surabaya",LT : 1840 m²,Tegalsari,6805000,Lainnya,62606000,Baik,1840.0,Komersial,Buruk,tinggi,92014
"Jl. Pakal No. 10, Surabaya",,Pakal,1200000,SHM,7020000,Buruk,1170.0,Industri,Baik,tinggi,59971
"Jl. Raya Gubeng No. 60, Surabaya",LT : 871 m²,Gubeng,5625000,Lainnya,24496875,Baik,871.0,Komersial,Baik,rendah,123961
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 450 m²,Genteng,6195000,HGB,13938750,Baik,450.0,Komersial,Baik,rendah,52924
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 817 m²,Genteng,6195000,Lainnya,25306575,Baik,817.0,Komersial,Baik,rendah,52924
"Jl. Kedungdoro No. 1, Surabaya",LT : 340 m²,Tegalsari,6805000,Lainnya,11568500,Buruk,340.0,Komersial,Buruk,rendah,92014
"Jl. Raya Gubeng No. 60, Surabaya",LT : 6000 m²,Gubeng,5625000,SHM,168750000,Buruk,6000.0,Komersial,Baik,rendah,123961
"Jl. Tunjungan No. 1, Genteng, Surabaya",,Genteng,6195000,SHM,19638150,Buruk,634.0,Komersial,Baik,rendah,52924
"Jl. Petemon No. 77, Sawahan, Surabaya",,Sawahan,1416000,HGB,55585080,Buruk,7851.0,Perumahan,Baik,tinggi,188693
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",,Kenjeran,1862000,Lainnya,42016030,Buruk,4513.0,Perumahan,Baik,tinggi,181325
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 458 m²,Kenjeran,1862000,SHM,4263980,Baik,458.0,Perumahan,Baik,tinggi,181325
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 124 m²,Sambikerep,1032000,SHM,639840,Baik,124.0,Perumahan,Buruk,rendah,63778
"Jl. Wonocolo No. 16, Surabaya",,Wonocolo,2800000,SHM,122612000,Buruk,8758.0,Komersial,Baik,rendah,75315
"Jl. Semampir No. 11, Surabaya",,Semampir,1800000,HGB,8118000,Baik,902.0,Industri,Buruk,rendah,172669
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,SHM,42550000,Baik,3404.0,Perumahan,Baik,rendah,86897
"Jl. Pakal No. 10, Surabaya",,Pakal,1200000,SHM,38820000,Buruk,6470.0,Industri,Baik,tinggi,59971
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1250 m²,Lakarsantri,1032000,HGB,6450000,Buruk,1250.0,Perumahan,Buruk,tinggi,59256
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,SHM,2775000,Buruk,222.0,Industri,Baik,tinggi,86897
"Jl. Petemon No. 77, Sawahan, Surabaya",,Sawahan,1416000,Lainnya,35293800,Buruk,4985.0,Perumahan,Baik,tinggi,188693
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 212 m²,Sambikerep,1032000,HGB,1093920,Baik,212.0,Komersial,Buruk,rendah,63778
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 502 m²,Wiyung,1416000,SHM,3554160,Baik,502.0,Perumahan,Baik,rendah,71605
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 647 m²,Sukomanunggal,5625000,SHM,18196875,Buruk,647.0,Industri,Buruk,rendah,101259
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 2250 m²,Sawahan,1416000,HGB,15930000,Baik,2250.0,Perumahan,Baik,rendah,188693
"Jl. Raya Gubeng No. 60, Surabaya",LT : 1167 m²,Gubeng,5625000,SHM,32821875,Baik,1167.0,Komersial,Buruk,rendah,123961
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,HGB,66737500,Buruk,5339.0,Komersial,Buruk,tinggi,86897
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT 1840 m²,Sukomanunggal,5625000,Lainnya,51750000,Buruk,1840.0,Industri,Buruk,tinggi,101259
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 390 m²,Lakarsantri,1032000,Lainnya,2012400,Buruk,390.0,Industri,Baik,rendah,59256
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",,Gunung Anyar,1862000,Lainnya,57489250,Baik,6175.0,Komersial,Buruk,rendah,62482
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT 1684 m²,Rungkut,2352000,Lainnya,19803840,Baik,1684.0,Perumahan,Baik,tinggi,123757
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 181 m²,Sukomanunggal,5625000,Lainnya,5090625,Buruk,181.0,Industri,Baik,rendah,101259
"Jl. Karang Pilang No. 7, Surabaya",,Karang Pilang,1800000,Lainnya,25254000,Buruk,2806.0,Industri,Buruk,rendah,75315
"Jl. Asemrowo No. 1, Surabaya",,Asemrowo,2500000,HGB,94975000,Baik,7598.0,Industri,Baik,rendah,45547
